,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'UnitedStates'}),frozenset({'white'}),0.9145761962647806,0.8587689247430655,0.8048403138468339,0.8800144997583373,1.0247395712666574,0.019430697184925294,1.1770678538030104,0.2826179593122891
1,frozenset({'white'}),frozenset({'UnitedStates'}),0.8587689247430655,0.9145761962647806,0.8048403138468339,0.9372024192510616,1.0247395712666574,0.019430697184925294,1.3603040549721104,0.17094184862942063
2,frozenset({'male'}),frozenset({'UnitedStates'}),0.6749917117913582,0.9145761962647806,0.6153166095701182,0.9115913555992141,0.9967363674259653,-0.0020147427102752413,0.9662381355828147,-0.009974085370277684
3,frozenset({'male'}),frozenset({'white'}),0.6749917117913582,0.8587689247430655,0.5955354182782628,0.8822855271774722,1.0273840864018717,0.015873511732717005,1.1997766448808846,0.082010788155176
4,"frozenset({'male', 'UnitedStates'})",frozenset({'white'}),0.6153166095701182,0.8587689247430655,0.5567466018344569,0.9048132183908046,1.0536166276178602,0.028331818657377772,1.483725711378512,0.13228586557161282
5,"frozenset({'male', 'white'})",frozenset({'UnitedStates'}),0.5955354182782628,0.9145761962647806,0.5567466018344569,0.9348673223232511,1.022186370191288,0.012084084244568194,1.311535265894865,0.05366308948168803
6,frozenset({'male'}),"frozenset({'UnitedStates', 'white'})",0.6749917117913582,0.8048403138468339,0.5567466018344569,0.8248199083169614,1.0248242963559226,0.013486060672288525,1.1140517411434945,0.07453033922805537
7,frozenset({'<50K'}),frozenset({'UnitedStates'}),0.6373079898331308,0.9145761962647806,0.5806166427229528,0.9110456043003293,0.9961396415313776,-0.002250074467785468,0.9603100899434884,-0.010571914853183288
8,frozenset({'<50K'}),frozenset({'white'}),0.6373079898331308,0.8587689247430655,0.5336501270858658,0.8373504421709727,0.9750590852149185,-0.013650170073296497,0.8683151503270153,-0.06587894248635928
9,"frozenset({'UnitedStates', '<50K'})",frozenset({'white'}),0.5806166427229528,0.8587689247430655,0.49497182009061774,0.8524933384088315,0.9926923458063976,-0.003643709868501044,0.9574555734192698,-0.01725023716235855
10,"frozenset({'white', '<50K'})",frozenset({'UnitedStates'}),0.5336501270858658,0.9145761962647806,0.49497182009061774,0.927521225926693,1.0141541292182994,0.006908116724209823,1.1786044235353565,0.029927285732576327
11,"frozenset({'male', '<50K'})",frozenset({'UnitedStates'}),0.3494308763399271,0.9145761962647806,0.3146204000442038,0.9003795066413661,0.9844773025130162,-0.0049607616962356604,0.8574922774944873,-0.023662892687838895
12,"frozenset({'male', '<50K'})",frozenset({'white'}),0.3494308763399271,0.8587689247430655,0.30180130401149297,0.8636938646426311,1.0057348836895084,0.0017209260650266622,1.0361314616297592,0.008764913872562535
13,"frozenset({'male', 'UnitedStates', '<50K'})",frozenset({'white'}),0.3146204000442038,0.8587689247430655,0.2766051497403028,0.8791710572532491,1.0237574182324862,0.006418927092108784,1.1688513699316643,0.033858756786277595
14,"frozenset({'male', 'white', '<50K'})",frozenset({'UnitedStates'}),0.30180130401149297,0.9145761962647806,0.2766051497403028,0.9165140974002198,1.002118906159327,0.0005848610897208895,1.0232123157933533,0.0030284013726106884
15,frozenset({'n_married'}),frozenset({'<50K'}),0.5227096916786386,0.6373079898331308,0.4924301027737872,0.9420718816067652,1.4782050384358625,0.15930303990377848,6.261070102515654,0.677792647659729
16,frozenset({'n_married'}),frozenset({'UnitedStates'}),0.5227096916786386,0.9145761962647806,0.4832578185434855,0.9245243128964059,1.0108772966891708,0.005199976977300014,1.131805578900806,0.02254446407995104
17,frozenset({'n_married'}),frozenset({'white'}),0.5227096916786386,0.8587689247430655,0.4349651895237043,0.8321353065539111,0.9689862809170431,-0.013921650351939485,0.8413387732560448,-0.06284422711699043
18,"frozenset({'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.4832578185434855,0.6373079898331308,0.454525361918444,0.9405442487994511,1.4758080297184382,0.14654129301135144,6.100200617152757,0.6239186730217797
19,"frozenset({'<50K', 'n_married'})",frozenset({'UnitedStates'}),0.4924301027737872,0.9145761962647806,0.454525361918444,0.9230251346499101,1.0092380912816623,0.004160511597318728,1.1097623015864053,0.01803402878056949
20,frozenset({'n_married'}),"frozenset({'UnitedStates', '<50K'})",0.5227096916786386,0.5806166427229528,0.454525361918444,0.8695560253699788,1.4976422675243506,0.1510314156172431,3.2150458345549953,0.6961880364311127
21,"frozenset({'UnitedStates', 'n_married'})",frozenset({'white'}),0.4832578185434855,0.8587689247430655,0.40899546911260914,0.8463297507431969,0.9855151093134975,-0.006011328091659385,0.9190528156228789,-0.02765653206997832
22,"frozenset({'white', 'n_married'})",frozenset({'UnitedStates'}),0.4349651895237043,0.9145761962647806,0.40899546911260914,0.9402947154471545,1.0281206959982239,0.011186660570430274,1.430757836177973,0.04840684296054805
23,"frozenset({'white', 'n_married'})",frozenset({'<50K'}),0.4349651895237043,0.6373079898331308,0.4078903746270306,0.9377540650406504,1.4714299522373582,0.13068358404429187,5.826758171497131,0.5670252192087115
24,"frozenset({'<50K', 'n_married'})",frozenset({'white'}),0.4924301027737872,0.8587689247430655,0.4078903746270306,0.8283213644524237,0.9645451070557176,-0.014993295243131866,0.8226479363985618,-0.0675294051642202
25,"frozenset({'UnitedStates', 'white', 'n_married'})",frozenset({'<50K'}),0.40899546911260914,0.6373079898331308,0.38258371090728255,0.9354228586868413,1.4677720562263268,0.12192763063626727,5.616414768316237,0.5392434129367807
